accession,protein_name,gene_name,std_gene_name,species
A0AAD9Q9H2,"Polycomb protein suz12",P5673_020665,SUZ12,"Acropora cervicornis"
A0ABM4CDL0,"Polycomb protein suz12 isoform X2",LOC100203032,SUZ12,"Hydra vulgaris"
A0ABN8N0M7,"Polycomb protein SUZ12",PLOB_00035319,SUZ12,"Porites lobata"
A0ABN8SQM5,"Polycomb protein SUZ12",PEVE_00024876,SUZ12,"Porites evermanni"
T2ME43,"TAR DNA-binding protein 43",TARDBP,TARDBP,"Hydra vulgaris"
A0A3M6V206,"tRNA (guanosine(18)-2'-O)-methyltransferase TARBP1",pdam_00001143,TARBP1,"Pocillopora damicornis"
A0A6P8IV81,"tRNA (guanosine(18)-2'-O)-methyltransferase TARBP1",LOC116305432,TARBP1,"Actinia tenebrosa"
A0A7D9JTJ5,"tRNA (guanosine(18)-2'-O)-methyltransferase TARBP1",PACLA_8A022609,TARBP1,"Paramuricea clavata"
A0A7M6DQR0,"tRNA (guanosine(18)-2'-O)-methyltransferase TARBP1",TARBP1 OS=Clytia hemisphaerica OX=252671,TARBP1,"Clytia hemisphaerica"
A0A913XH91,"tRNA (guanosine(18)-2'-O)-methyltransferase TARBP1",TARBP1 OS=Exaiptasia diaphana OX=2652724,TARBP1,"Exaiptasia diaphana"
A0A9X0A618,"tRNA (guanosine(18)-2'-O)-methyltransferase TARBP1",TARBP1_4,TARBP1,"Desmophyllum pertusum"
A0AAD9QDU1,"tRNA (guanosine(18)-2'-O)-methyltransferase TARBP1",P5673_018073,TARBP1,"Acropora cervicornis"
A7RT83,"tRNA (guanosine(18)-2'-O)-methyltransferase TARBP1",NEMVEDRAFT_v1g92540,TARBP1,"Nematostella vectensis"
T2ME43,"TAR DNA-binding protein 43",TARDBP,TARDBP,"Hydra vulgaris"
A0A2B4STC9,"Regulator of nonsense transcripts 1",UPF1,UPF1,"Stylophora pistillata"
A0A3M6UEA3,"Upf1 domain-containing protein",pdam_00004771,UPF1,"Pocillopora damicornis"
A0A7M5UR79,"Upf1 domain-containing protein",UPF1 OS=Clytia hemisphaerica OX=252671,UPF1,"Clytia hemisphaerica"
A0A9W9ZGW1,"ATP-dependent helicase NAM7",UPF1_1,UPF1,"Desmophyllum pertusum"
A0AAU9X6X4,"Upf1 domain-containing protein",PMEA_00018481,UPF1,"Pocillopora meandrina"
A0A9W9ZHT8,"ATP-dependent helicase NAM7",UPF1_2,UPF1,"Desmophyllum pertusum"
A0ABN8NHJ3,"Upf1 domain-containing protein",PLOB_00018750,UPF1,"Porites lobata"
A0A7M6DN67,"WDR5-like beta-propeller domain-containing protein",WDR5 OS=Clytia hemisphaerica OX=252671,WDR5,"Clytia hemisphaerica"
A0A913YAB2,"WDR5-like beta-propeller domain-containing protein",WDR5 OS=Exaiptasia diaphana OX=2652724,WDR5,"Exaiptasia diaphana"
A0AAU9VP41,"WDR5-like beta-propeller domain-containing protein",PMEA_00010590,WDR5,"Pocillopora meandrina"
A7SSL6,"WDR5-like beta-propeller domain-containing protein",NEMVEDRAFT_v1g237480,WDR5,"Nematostella vectensis"
A0A2B4RB25,"WD repeat-containing protein 5",Wdr5,WDR5,"Stylophora pistillata"
A0A6P8I1S3,"WD repeat-containing protein 5",LOC116298230,WDR5,"Actinia tenebrosa"
A0A7M5X3M9,"WDR5-like beta-propeller domain-containing protein",WDR5 OS=Clytia hemisphaerica OX=252671,WDR5,"Clytia hemisphaerica"
A0A7M5X3Z2,"WDR5-like beta-propeller domain-containing protein",WDR5 OS=Clytia hemisphaerica OX=252671,WDR5,"Clytia hemisphaerica"
A0A7M5X5X0,"WDR5-like beta-propeller domain-containing protein",WDR5 OS=Clytia hemisphaerica OX=252671,WDR5,"Clytia hemisphaerica"
A0A9X0CD26,"WD repeat-containing protein 5",WDR5_2,WDR5,"Desmophyllum pertusum"
T2MET8,"WD repeat-containing protein 5",WDR5,WDR5,"Hydra vulgaris"
A0A3M6UJ11,"5'-3' exoribonuclease 1",pdam_00000477,XRN1,"Pocillopora damicornis"
A0A3M6UJK3,"Xrn1 helical domain-containing protein",pdam_00023034,XRN1,"Pocillopora damicornis"
A0A6P8IZS9,"5'-3' exoribonuclease",LOC116306759,XRN,"Actinia tenebrosa"
A0A6P8J1E8,"5'-3' exoribonuclease 1-like",LOC116305788,XRN1,"Actinia tenebrosa"
A0A6S7HB48,"5'-3' exoribonuclease",PACLA_8A068368,XRN,"Paramuricea clavata"
A0A6S7HH58,"5'-3' exoribonuclease 1",PACLA_8A041910,XRN1,"Paramuricea clavata"
A0A7M5X172,"5'-3' exoribonuclease",XRN OS=Clytia hemisphaerica OX=252671,XRN,"Clytia hemisphaerica"
A0A913XLV4,"5'-3' exoribonuclease",XRN OS=Exaiptasia diaphana OX=2652724,XRN,"Exaiptasia diaphana"
A0A9X0DBQ1,"5'-3' exoribonuclease 1",XRN1,XRN1,"Desmophyllum pertusum"
A0AAD9Q1S9,"5'-3' exoribonuclease 1",P5673_025679,XRN1,"Acropora cervicornis"
A0AAD9QG87,"5'-3' exoribonuclease",P5673_016712,XRN,"Acropora cervicornis"
A0AAU9VQJ5,"5'-3' exoribonuclease 1",PMEA_00016946,XRN1,"Pocillopora meandrina"
A0AAU9X1X8,"5'-3' exoribonuclease",PMEA_00015679,XRN,"Pocillopora meandrina"
A0AAU9Y3J8,"5'-3' exoribonuclease",PMEA_00006268,XRN,"Pocillopora meandrina"
A0ABM4C2P4,"5'-3' exoribonuclease",LOC100205936,XRN,"Hydra vulgaris"
A0ABN8Q9X2,"5'-3' exoribonuclease",PLOB_00003734,XRN,"Porites lobata"
A0A2B4S4P0,"5'-3' exoribonuclease 1",XRN1,XRN1,"Stylophora pistillata"
A0ABM4C0W8,"5'-3' exoribonuclease 1",LOC101240070,XRN1,"Hydra vulgaris"
A0ABM4C1P3,"5'-3' exoribonuclease 1",LOC100204338,XRN1,"Hydra vulgaris"
A0ABN8N0X0,"5'-3' exoribonuclease 1",PLOB_00039470,XRN1,"Porites lobata"
A0A2B4SWH1,"Ribonuclease ZC3H12A",Zc3h12a,ZC3H12A,"Stylophora pistillata"
A0A6P8GZC0,"Endoribonuclease ZC3H12A-like",LOC116286475,ZC3H12A,"Actinia tenebrosa"
A0A6P8H847,"Endoribonuclease ZC3H12A-like isoform X1",LOC116286294,ZC3H12A,"Actinia tenebrosa"
A0A6P8I3D1,"Endoribonuclease ZC3H12A-like",LOC116298674,ZC3H12A,"Actinia tenebrosa"
A0AAD9R5F4,"Endoribonuclease ZC3H12A",P5673_002241,ZC3H12A,"Acropora cervicornis"
T2MHZ7,"Zinc finger C3H1 domain-containing protein",ZFC3H1,ZFC3H1,"Hydra vulgaris"
T2M8M4,"Paraspeckle component 1",PSPC1,PSPC1,"Hydra vulgaris"
A0A2B4RT85,"Small RNA 2'-O-methyltransferase",Henmt1,HENMT1,"Stylophora pistillata"
A0A3M6TXM5,"Small RNA 2'-O-methyltransferase",pdam_00007839,HENMT1,"Pocillopora damicornis"
A0A6P8IAV1,"Small RNA 2'-O-methyltransferase",LOC116297700,HENMT1,"Actinia tenebrosa"
A0A7D9I5P4,"Small RNA 2'-O-methyltransferase",PACLA_8A072682,HENMT1,"Paramuricea clavata"
A0A7M5V1U7,"Small RNA 2'-O-methyltransferase",HENMT1 OS=Clytia hemisphaerica OX=252671,HENMT1,"Clytia hemisphaerica"
A0A7M5XM45,"Small RNA 2'-O-methyltransferase",HENMT1 OS=Clytia hemisphaerica OX=252671,HENMT1,"Clytia hemisphaerica"
A0A913XH97,"Small RNA 2'-O-methyltransferase",HENMT1 OS=Exaiptasia diaphana OX=2652724,HENMT1,"Exaiptasia diaphana"
A0A913YLG0,"Small RNA 2'-O-methyltransferase",HENMT1 OS=Exaiptasia diaphana OX=2652724,HENMT1,"Exaiptasia diaphana"
A0A9X0CGH9,"Small RNA 2'-O-methyltransferase",HENMT1,HENMT1,"Desmophyllum pertusum"
A0AAD9UXC1,"Small RNA 2'-O-methyltransferase",P5673_025398,HENMT1,"Acropora cervicornis"
A0AAU9VS69,"Small RNA 2'-O-methyltransferase",PMEA_00021362,HENMT1,"Pocillopora meandrina"
A0ABN8M7S2,"Small RNA 2'-O-methyltransferase",PEVE_00023282,HENMT1,"Porites evermanni"
A0ABN8N2R2,"Small RNA 2'-O-methyltransferase",PLOB_00047865,HENMT1,"Porites lobata"
T2MC08,"Small RNA 2'-O-methyltransferase",HENMT1,HENMT1,"Hydra vulgaris"
U3MHT1,"Small RNA 2'-O-methyltransferase",HENMT1 OS=Nematostella vectensis OX=45351,HENMT1,"Nematostella vectensis"
A0ABM4CR37,"Small RNA 2'-O-methyltransferase",LOC100200697,HENMT1,"Hydra vulgaris"
